"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS",-0.261295983135437,0.314402701173313,0.998866289809968,-0.261295983135437,0.247682960713685,0.737544136788357,9,1,-0.273243133018585,-0.582984739081645,-0.0849233508813659,TRUE,0.261295983135437,0.261295983135437
"REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS",-0.464855746337777,0.0952146612322927,0.998866289809968,-0.464855746337777,0.0072845334993641,0.296397931252367,9,0,-0.453342444021314,-0.518412278821594,-0.421275744658805,TRUE,0.464855746337777,0.464855746337777
"REACTOME_RNA_POLYMERASE_III_CHAIN_ELONGATION",-0.533761985996012,0.115529335387226,0.998866289809968,-0.533761985996011,0.00854103580825244,0.296397931252367,9,0,-0.539795171984622,-0.666344466652505,-0.428790801318106,TRUE,0.533761985996012,0.533761985996011
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL",-0.462761997557429,0.0901021189437224,0.998866289809968,-0.462761997557429,0.0117689266896021,0.352787588147835,9,0,-0.461357978675129,-0.54593434235597,-0.392564566603254,TRUE,0.462761997557429,0.462761997557429
"REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION",0.499355302001871,0.116198210967174,0.998866289809968,0.499355302001871,0.0129120966760105,0.378054179420866,9,0,0.516553739630234,0.375483785382375,0.583072998755113,TRUE,0.499355302001871,0.499355302001871
"REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE",0.478243762868625,0.131870769440583,0.998866289809968,0.478243762868624,0.0140084680079107,0.38628736799647,9,0,0.474533453735377,0.310360415213466,0.64983741965703,TRUE,0.478243762868625,0.478243762868624
"REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT",-0.525826920880887,0.121965175806214,0.998866289809968,-0.525826920880886,0.0144765303933314,0.387786207770302,9,0,-0.531599543186699,-0.675083243572664,-0.293361279524645,TRUE,0.525826920880887,0.525826920880886
"REACTOME_FCGR_ACTIVATION",0.425149652691471,0.12426957199637,0.998866289809968,0.425149652691471,0.017082855870939,0.388217886537009,9,0,0.41784125976973,0.339806745655031,0.56309590553856,TRUE,0.425149652691471,0.425149652691471
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS",0.456854002967369,0.0840991569123265,0.998866289809968,0.456854002967369,0.0172678329198352,0.388217886537009,9,0,0.448816769010653,0.356259958326373,0.533562040538052,TRUE,0.456854002967369,0.456854002967369
"REACTOME_KERATINIZATION",-0.405427279736136,0.0888075640656086,0.998866289809968,-0.405427279736136,0.0191418516004107,0.411696233106527,9,0,-0.386733455117635,-0.471321289364916,-0.345874622540841,TRUE,0.405427279736136,0.405427279736136
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",0.378950120534594,0.102247890704855,0.998866289809968,0.378950120534594,0.020011940115989,0.41303332141033,9,0,0.376789201281595,0.315678594245751,0.443697532705275,TRUE,0.378950120534594,0.378950120534594
"REACTOME_RET_SIGNALING",0.367825039788879,0.0935432389816764,0.998866289809968,0.367825039788879,0.0219899004097642,0.418349480221686,9,0,0.367369738362573,0.234478710444394,0.460383313410476,TRUE,0.367825039788879,0.367825039788879
"REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND",-0.458716010936911,0.0968679900906007,0.998866289809968,-0.45871601093691,0.0223604925612538,0.418349480221686,9,0,-0.466149786313801,-0.588345824833181,-0.349547611748117,TRUE,0.458716010936911,0.45871601093691
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",-0.462890541657666,0.125072959929563,0.998866289809968,-0.462890541657666,0.0238059552360119,0.418349480221686,9,0,-0.475859150308977,-0.565608398150577,-0.331674381730082,TRUE,0.462890541657666,0.462890541657666
